Question,answer_1,answer_2,answer_3,answer_4,correct_answer
Τι εκφράζει το ορισμένο ολοκλήρωμα μιας συνάρτησης σε ένα διάστημα;,Την παράγωγο της συνάρτησης,Το εμβαδόν κάτω από τη γραφική παράσταση στο διάστημα,Την τιμή της συνάρτησης στο άκρο του διαστήματος,Τον ρυθμό μεταβολής της συνάρτησης,β
Ποιο είναι το θεμελιώδες θεώρημα του ολοκληρωτικού λογισμού;,Συσχετίζει το ορισμένο ολοκλήρωμα με την παράγωγο,Συσχετίζει την παράγωγο με το εμβαδόν,Συσχετίζει το όριο με το ολοκλήρωμα,Συσχετίζει τη συνέχεια με την παραγωγισιμότητα,α
Ποια είναι η μέθοδος ολοκλήρωσης κατά παράγοντες;,Χρησιμοποιείται για το άθροισμα δύο συναρτήσεων,Χρησιμοποιείται για το γινόμενο δύο συναρτήσεων,Χρησιμοποιείται για το πηλίκο δύο συναρτήσεων,Χρησιμοποιείται για τη σύνθεση δύο συναρτήσεων,β
Ποια είναι η παράγουσα της f(x) = x^n;,F(x) = x^(n+1)/(n+1),F(x) = x^n/n,F(x) = ln(x),F(x) = e^x,α
Η παράγουσα της f(x) = 1/x είναι:,ln|x|,1/x^2,x^2,e^x,α
Ποιο από τα παρακάτω ισχύει για το ορισμένο ολοκλήρωμα;,"∫[a,b] f(x) dx = -∫[b,a] f(x) dx","∫[a,b] f(x) dx = ∫[b,a] f(x) dx","∫[a,b] f(x) dx = ∫[a,b] f'(x) dx","∫[a,b] f(x) dx = f(b) - f(a)",α
Το ολοκλήρωμα της f(x) = e^x είναι:,F(x) = e^x + C,F(x) = x e^x + C,F(x) = ln x + C,F(x) = x^2 + C,α
Ποια από τις παρακάτω είναι βασική ιδιότητα του ορισμένου ολοκληρώματος;,Γραμμικότητα,Διακριτότητα,Συμμετρία,Επαναληψιμότητα,α
Το ολοκλήρωμα της f(x) = cos x είναι:,F(x) = sin x + C,F(x) = -sin x + C,F(x) = cos x + C,F(x) = -cos x + C,α
Η παράγουσα της f(x) = 1 είναι:,F(x) = x + C,F(x) = 1 + C,F(x) = ln x + C,F(x) = x^2 + C,α
Ποιο από τα παρακάτω δεν είναι ιδιότητα ολοκληρώματος;,∫(af + bg) = a∫f + b∫g,"∫[a,b] = ∫[a,c] + ∫[c,b]",∫f(x)g(x) dx = ∫f(x) dx * ∫g(x) dx,"Αν f(x) ≥ 0, τότε ∫f(x) dx ≥ 0",γ
Το ολοκλήρωμα της f(x) = 1/(1+x^2) είναι:,arctan x + C,ln|x| + C,1/x + C,x^2/2 + C,α
Η βασική έννοια του ολοκληρωτικού λογισμού αφορά:,Ρυθμό μεταβολής,Εμβαδό,Κλίση ευθείας,Σημείο καμπής,β
Η παράγουσα της f(x) = cos x είναι:,F(x) = sin x + C,F(x) = cos x + C,F(x) = -sin x + C,F(x) = -cos x + C,γ
"Αν F'(x) = f(x), τότε F(x) λέγεται:",Παράγωγος,Παράγουσα,Αρχική συνάρτηση,Ακρότατο,β
Η ολοκλήρωση κατά μέρη εφαρμόζεται κυρίως σε:,Γινόμενο συναρτήσεων,Άθροισμα συναρτήσεων,Πηλίκο συναρτήσεων,Σύνθεση συναρτήσεων,α
"Αν f(x) είναι συνεχής, τότε το ορισμένο ολοκλήρωμα είναι:",Πάντα ορισμένο,Πάντα μηδενικό,Μη συνεχές,Μη παραγωγίσιμο,α
Το ολοκλήρωμα της f(x) = 2x είναι:,x^2 + C,2x + C,2x^2 + C,ln x + C,α
"Αν το f(x) ≥ 0 στο [a, b], τότε το ∫[a, b] f(x) dx είναι:",≥ 0,≤ 0,= 0 μόνο αν f(x)=0,Κατ’ ανάγκη αρνητικό,α
Ποια είναι η γεωμετρική ερμηνεία του ολοκληρώματος;,Εμβαδόν περιοχής,Όριο συνάρτησης,Ρυθμός μεταβολής,Καμπυλότητα,α
