Statement,Answer
"Αν η συνάρτηση είναι συνεχής στο x₀, τότε είναι και παραγωγίσιμη στο x₀.",Λάθος
Η γραφική παράσταση της f(x) = |x| έχει γωνιακό σημείο στο x = 0.,Σωστό
Η παράγωγος μιας σταθερής συνάρτησης είναι μηδέν.,Σωστό
Το ορισμένο ολοκλήρωμα εκφράζει ρυθμό μεταβολής.,Λάθος
"Αν μια συνάρτηση έχει παράγωγο ίση με μηδέν σε ένα διάστημα, τότε είναι σταθερή.",Σωστό
Η f(x) = e^x έχει πάντα θετικές τιμές.,Σωστό
Το σύνολο τιμών της f(x) = x^2 είναι το ℝ.,Λάθος
Η f(x) = sin(x) είναι περιοδική συνάρτηση.,Σωστό
Η παράγωγος της f(x) = ln(x) είναι ln'(x) = x.,Λάθος
Η f(x) = x^3 είναι γνησίως αύξουσα στο ℝ.,Σωστό
Η f(x) = |x| είναι συνεχής παντού.,Σωστό
Το όριο της f(x) = 1/x στο x=0 υπάρχει.,Λάθος
Η f(x) = x^2 είναι παραγωγίσιμη στο x=0.,Σωστό
Η f(x) = 1/x δεν είναι συνεχής στο x=0.,Σωστό
Η παράγωγος της f(x) = cos(x) είναι sin(x).,Λάθος
Η f(x) = x^5 είναι περιττή συνάρτηση.,Σωστό
Η f(x) = x^4 είναι άρτια.,Σωστό
Η f(x) = ln(x^2) έχει πεδίο ορισμού το ℝ\{0}.,Σωστό
Η f(x) = tan(x) έχει κατακόρυφες ασύμπτωτες.,Σωστό
Η f(x) = e^x είναι φθίνουσα στο ℝ.,Λάθος
